Latitude,Longitude,Speed,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
40.228523,29.009273,24.52,-0.04,-1.06,11.67,0.02,0.03,-0.0
40.228523,29.009273,24.52,0.17,-1.24,11.68,0.02,0.02,-0.01
40.228523,29.009273,24.52,-0.83,-1.36,10.65,-0.01,0.01,-0.02
40.228595,29.009269,28.71,-0.35,-1.58,12.21,0.02,0.01,-0.0
40.228595,29.009269,28.71,0.13,-1.26,11.04,-0.0,-0.01,-0.01
40.228595,29.009269,28.71,-0.28,-1.54,11.04,0.01,0.01,-0.01
40.228595,29.009269,28.71,-0.17,-1.35,9.76,0.02,0.0,-0.0
40.228595,29.009269,28.71,-0.38,-1.28,9.12,0.03,0.01,-0.0
40.228595,29.009269,28.71,0.09,-1.68,10.37,0.01,-0.0,-0.01
40.228672,29.009273,32.58,-0.48,-1.53,10.3,0.01,-0.01,-0.01
40.228672,29.009273,32.58,0.29,-1.57,10.03,0.02,-0.02,-0.02
40.228672,29.009273,32.58,-0.18,-1.7,10.78,0.0,-0.02,-0.01
40.228672,29.009273,32.58,-0.14,-1.42,10.3,0.01,-0.02,-0.01
40.228759,29.009275,34.74,0.28,-1.12,10.87,0.01,-0.0,-0.0
40.228759,29.009275,34.74,0.16,-1.47,9.46,-0.01,-0.01,-0.0
40.228858,29.009271,40.61,-0.06,-1.29,10.83,0.01,0.0,-0.01
40.228965,29.009267,44.17,0.05,-0.78,9.73,0.01,-0.0,-0.01
40.228965,29.009267,44.17,0.76,-1.14,10.11,0.03,-0.01,-0.01
